"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,0.5,4,13,1,1,"normal",0.150253747353438,0.5
"2",300,1,0.5,6,8,1,1,"normal",0.165484973544667,0.5
"3",300,1,0.5,8,6,1,1,"normal",0.148484766269825,0.5
"4",300,1,0.5,10,5,1,1,"normal",0.173805268851502,0.5
"5",300,1,0.5,12,4,1,1,"normal",0.174743670901649,0.5
"6",300,1,0.5,14,3,1,1,"normal",0.204690653474429,0.5
"7",300,1,0.5,16,3,1,1,"normal",0.16634742418169,0.5
"8",300,1,0.5,18,2,1,1,"normal",0.224972140090884,0.5
"9",300,1,0.5,20,2,1,1,"normal",0.202663365828274,0.5
"10",300,1,0.5,22,2,1,1,"normal",0.173785806076514,0.5
"11",300,1,0.5,24,2,1,1,"normal",0.185191972031103,0.5
"12",300,1,0.5,26,1,1,1,"normal",0.369106855906129,0.5
"13",300,1,0.5,28,1,1,1,"normal",0.296771796507992,0.5
"14",300,1,0.5,30,1,1,1,"normal",0.272677433321686,0.5
"15",300,1,0.5,32,1,1,1,"normal",0.241858200970554,0.5
"16",300,1,0.5,34,1,1,1,"normal",0.241098319330012,0.5
"17",300,1,0.5,36,1,1,1,"normal",0.219177455181588,0.5
"18",300,1,0.5,38,1,1,1,"normal",0.211268280890693,0.5
"19",300,1,0.5,40,1,1,1,"normal",0.167797009300132,0.5
"20",300,1,0.5,42,1,1,1,"normal",0.183586882975401,0.5
"21",300,1,0.5,44,1,1,1,"normal",0.16219267811619,0.5
"22",300,1,0.5,46,1,1,1,"normal",0.150224593190482,0.5
"23",300,1,0.5,48,1,1,1,"normal",0.173818669534819,0.5
"24",300,1,0.5,50,1,1,1,"normal",0.156376908483373,0.5
"25",300,1,2,4,13,1,1,"normal",0.162667461086124,0.5
"26",300,1,2,6,8,1,1,"normal",0.15877464818798,0.5
"27",300,1,2,8,6,1,1,"normal",0.158321535170493,0.5
"28",300,1,2,10,5,1,1,"normal",0.141508231428304,0.5
"29",300,1,2,12,4,1,1,"normal",0.193893216302995,0.5
"30",300,1,2,14,3,1,1,"normal",0.166033661690548,0.5
"31",300,1,2,16,3,1,1,"normal",0.185206404299795,0.5
"32",300,1,2,18,2,1,1,"normal",0.23944776099844,0.5
"33",300,1,2,20,2,1,1,"normal",0.24440631523602,0.5
"34",300,1,2,22,2,1,1,"normal",0.163332821479883,0.5
"35",300,1,2,24,2,1,1,"normal",0.184689571562642,0.5
"36",300,1,2,26,1,1,1,"normal",0.355507927934284,0.5
"37",300,1,2,28,1,1,1,"normal",0.273024026622604,0.5
"38",300,1,2,30,1,1,1,"normal",0.311135984624913,0.5
"39",300,1,2,32,1,1,1,"normal",0.284265129230916,0.5
"40",300,1,2,34,1,1,1,"normal",0.258331190870403,0.5
"41",300,1,2,36,1,1,1,"normal",0.199890614797393,0.5
"42",300,1,2,38,1,1,1,"normal",0.184038691174784,0.5
"43",300,1,2,40,1,1,1,"normal",0.180330694952019,0.5
"44",300,1,2,42,1,1,1,"normal",0.187943397709159,0.5
"45",300,1,2,44,1,1,1,"normal",0.167649871489993,0.5
"46",300,1,2,46,1,1,1,"normal",0.156054388730558,0.5
"47",300,1,2,48,1,1,1,"normal",0.150014068320605,0.5
"48",300,1,2,50,1,1,1,"normal",0.167749627923733,0.5
"49",300,1,10,4,13,1,1,"normal",0.167059999990825,0.5
"50",300,1,10,6,8,1,1,"normal",0.188134607670944,0.5
"51",300,1,10,8,6,1,1,"normal",0.149922360736615,0.5
"52",300,1,10,10,5,1,1,"normal",0.172357911045522,0.5
"53",300,1,10,12,4,1,1,"normal",0.16446771151981,0.5
"54",300,1,10,14,3,1,1,"normal",0.197330904716136,0.5
"55",300,1,10,16,3,1,1,"normal",0.187328537739373,0.5
"56",300,1,10,18,2,1,1,"normal",0.221284868571783,0.5
"57",300,1,10,20,2,1,1,"normal",0.227110051652706,0.5
"58",300,1,10,22,2,1,1,"normal",0.178212249770458,0.5
"59",300,1,10,24,2,1,1,"normal",0.175388858821118,0.5
"60",300,1,10,26,1,1,1,"normal",0.33087224402485,0.5
"61",300,1,10,28,1,1,1,"normal",0.291772716255261,0.5
"62",300,1,10,30,1,1,1,"normal",0.252862863845714,0.5
"63",300,1,10,32,1,1,1,"normal",0.251771807912556,0.5
"64",300,1,10,34,1,1,1,"normal",0.249155660337634,0.5
"65",300,1,10,36,1,1,1,"normal",0.214238815473502,0.5
"66",300,1,10,38,1,1,1,"normal",0.209202067213562,0.5
"67",300,1,10,40,1,1,1,"normal",0.215450297822926,0.5
"68",300,1,10,42,1,1,1,"normal",0.187782592592265,0.5
"69",300,1,10,44,1,1,1,"normal",0.182446295037141,0.5
"70",300,1,10,46,1,1,1,"normal",0.189601270468618,0.5
"71",300,1,10,48,1,1,1,"normal",0.149468812580815,0.5
"72",300,1,10,50,1,1,1,"normal",0.145105447790463,0.5
