"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,0.5,2,4,58,1,1,"poisson",0.0320369643119356,0.5
"2",300,0.5,2,6,37,1,1,"poisson",0.0338227933120747,0.5
"3",300,0.5,2,8,27,1,1,"poisson",0.0311860059399553,0.5
"4",300,0.5,2,10,21,1,1,"poisson",0.0385835565758329,0.5
"5",300,0.5,2,12,16,1,1,"poisson",0.0368975859811051,0.5
"6",300,0.5,2,14,13,1,1,"poisson",0.039861852737749,0.5
"7",300,0.5,2,16,11,1,1,"poisson",0.0379978780486875,0.5
"8",300,0.5,2,18,9,1,1,"poisson",0.0346862491217868,0.5
"9",300,0.5,2,20,8,1,1,"poisson",0.0458256093353597,0.5
"10",300,0.5,2,22,7,1,1,"poisson",0.0407888635050126,0.5
"11",300,0.5,2,24,6,1,1,"poisson",0.0425569731478625,0.5
"12",300,0.5,2,26,5,1,1,"poisson",0.0452918101718199,0.5
"13",300,0.5,2,28,4,1,1,"poisson",0.0572980217325756,0.5
"14",300,0.5,2,30,4,1,1,"poisson",0.0495327309477239,0.5
"15",300,0.5,2,32,3,1,1,"poisson",0.0537467277467872,0.5
"16",300,0.5,2,34,3,1,1,"poisson",0.0667186065857289,0.5
"17",300,0.5,2,36,2,1,1,"poisson",0.0814928991198182,0.5
"18",300,0.5,2,38,2,1,1,"poisson",0.0747800854407462,0.5
"19",300,0.5,2,40,2,1,1,"poisson",0.0737483353646927,0.5
"20",300,0.5,2,42,1,1,1,"poisson",0.168809135042362,0.5
"21",300,0.5,2,44,1,1,1,"poisson",0.176445438222933,0.5
"22",300,0.5,2,46,1,1,1,"poisson",0.14469717239429,0.5
"23",300,0.5,2,48,1,1,1,"poisson",0.167697041099305,0.5
"24",300,0.5,2,50,1,1,1,"poisson",0.12856503117548,0.5
"25",300,2,2,4,58,1,1,"poisson",0.0363410157596573,0.5
"26",300,2,2,6,37,1,1,"poisson",0.0286948643915437,0.5
"27",300,2,2,8,27,1,1,"poisson",0.0277649718038578,0.5
"28",300,2,2,10,21,1,1,"poisson",0.0312552988711077,0.5
"29",300,2,2,12,16,1,1,"poisson",0.0300103977485506,0.5
"30",300,2,2,14,13,1,1,"poisson",0.036091843401348,0.5
"31",300,2,2,16,11,1,1,"poisson",0.0340278675826653,0.5
"32",300,2,2,18,9,1,1,"poisson",0.0359381021813408,0.5
"33",300,2,2,20,8,1,1,"poisson",0.0406041160130346,0.5
"34",300,2,2,22,7,1,1,"poisson",0.0334518764175226,0.5
"35",300,2,2,24,6,1,1,"poisson",0.0441484565661107,0.5
"36",300,2,2,26,5,1,1,"poisson",0.037065236907544,0.5
"37",300,2,2,28,4,1,1,"poisson",0.0495772440317992,0.5
"38",300,2,2,30,4,1,1,"poisson",0.0437558712611081,0.5
"39",300,2,2,32,3,1,1,"poisson",0.0500856567752083,0.5
"40",300,2,2,34,3,1,1,"poisson",0.0460014641831103,0.5
"41",300,2,2,36,2,1,1,"poisson",0.0557693163416272,0.5
"42",300,2,2,38,2,1,1,"poisson",0.0552807770900384,0.5
"43",300,2,2,40,2,1,1,"poisson",0.0592461863542777,0.5
"44",300,2,2,42,1,1,1,"poisson",0.16366937348462,0.5
"45",300,2,2,44,1,1,1,"poisson",0.147055528872356,0.5
"46",300,2,2,46,1,1,1,"poisson",0.129616280341663,0.5
"47",300,2,2,48,1,1,1,"poisson",0.143167714943302,0.5
"48",300,2,2,50,1,1,1,"poisson",0.12906142715671,0.5
"49",300,10,2,4,58,1,1,"poisson",0.0309792736068597,0.5
"50",300,10,2,6,37,1,1,"poisson",0.0290140820473249,0.5
"51",300,10,2,8,27,1,1,"poisson",0.0275902685547907,0.5
"52",300,10,2,10,21,1,1,"poisson",0.0338134471850114,0.5
"53",300,10,2,12,16,1,1,"poisson",0.0255396026400881,0.5
"54",300,10,2,14,13,1,1,"poisson",0.034141118471233,0.5
"55",300,10,2,16,11,1,1,"poisson",0.0368642794823106,0.5
"56",300,10,2,18,9,1,1,"poisson",0.0333596354826643,0.5
"57",300,10,2,20,8,1,1,"poisson",0.0306922685427609,0.5
"58",300,10,2,22,7,1,1,"poisson",0.0356290142960148,0.5
"59",300,10,2,24,6,1,1,"poisson",0.0365593399997257,0.5
"60",300,10,2,26,5,1,1,"poisson",0.041288337845417,0.5
"61",300,10,2,28,4,1,1,"poisson",0.0498742130096711,0.5
"62",300,10,2,30,4,1,1,"poisson",0.043244872257776,0.5
"63",300,10,2,32,3,1,1,"poisson",0.0499767724330002,0.5
"64",300,10,2,34,3,1,1,"poisson",0.0473860159436401,0.5
"65",300,10,2,36,2,1,1,"poisson",0.0637282700572411,0.5
"66",300,10,2,38,2,1,1,"poisson",0.055476735151936,0.5
"67",300,10,2,40,2,1,1,"poisson",0.059312428859928,0.5
"68",300,10,2,42,1,1,1,"poisson",0.134249384075076,0.5
"69",300,10,2,44,1,1,1,"poisson",0.148016385727968,0.5
"70",300,10,2,46,1,1,1,"poisson",0.134426706007068,0.5
"71",300,10,2,48,1,1,1,"poisson",0.122271057075789,0.5
"72",300,10,2,50,1,1,1,"poisson",0.117638080961219,0.5
