"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,0.5,4,58,1,1,"poisson",0.0307271312191493,0.5
"2",300,1,0.5,6,37,1,1,"poisson",0.0377496066601815,0.5
"3",300,1,0.5,8,27,1,1,"poisson",0.0384130893570396,0.5
"4",300,1,0.5,10,21,1,1,"poisson",0.0311389162153129,0.5
"5",300,1,0.5,12,16,1,1,"poisson",0.0357842056741227,0.5
"6",300,1,0.5,14,13,1,1,"poisson",0.0393546839567687,0.5
"7",300,1,0.5,16,11,1,1,"poisson",0.0408584026285508,0.5
"8",300,1,0.5,18,9,1,1,"poisson",0.046190491935942,0.5
"9",300,1,0.5,20,8,1,1,"poisson",0.0429211831534492,0.5
"10",300,1,0.5,22,7,1,1,"poisson",0.0424345495879784,0.5
"11",300,1,0.5,24,6,1,1,"poisson",0.0451216557505558,0.5
"12",300,1,0.5,26,5,1,1,"poisson",0.0501066043596378,0.5
"13",300,1,0.5,28,4,1,1,"poisson",0.0510483812681663,0.5
"14",300,1,0.5,30,4,1,1,"poisson",0.0519644669677397,0.5
"15",300,1,0.5,32,3,1,1,"poisson",0.0571495901590291,0.5
"16",300,1,0.5,34,3,1,1,"poisson",0.0571934258219115,0.5
"17",300,1,0.5,36,2,1,1,"poisson",0.0770984338395905,0.5
"18",300,1,0.5,38,2,1,1,"poisson",0.066182864803959,0.5
"19",300,1,0.5,40,2,1,1,"poisson",0.0732362235545812,0.5
"20",300,1,0.5,42,1,1,1,"poisson",0.158573862935713,0.5
"21",300,1,0.5,44,1,1,1,"poisson",0.146987937891849,0.5
"22",300,1,0.5,46,1,1,1,"poisson",0.135177976033193,0.5
"23",300,1,0.5,48,1,1,1,"poisson",0.133546218218525,0.5
"24",300,1,0.5,50,1,1,1,"poisson",0.133209535955851,0.5
"25",300,1,2,4,58,1,1,"poisson",0.0256272096460759,0.5
"26",300,1,2,6,37,1,1,"poisson",0.029461337347914,0.5
"27",300,1,2,8,27,1,1,"poisson",0.0297511674371339,0.5
"28",300,1,2,10,21,1,1,"poisson",0.032383563538486,0.5
"29",300,1,2,12,16,1,1,"poisson",0.0367502172484232,0.5
"30",300,1,2,14,13,1,1,"poisson",0.0328060402789835,0.5
"31",300,1,2,16,11,1,1,"poisson",0.0341729951361766,0.5
"32",300,1,2,18,9,1,1,"poisson",0.0399047024258546,0.5
"33",300,1,2,20,8,1,1,"poisson",0.03625107773165,0.5
"34",300,1,2,22,7,1,1,"poisson",0.0343017720799259,0.5
"35",300,1,2,24,6,1,1,"poisson",0.046103048770675,0.5
"36",300,1,2,26,5,1,1,"poisson",0.0496013463649725,0.5
"37",300,1,2,28,4,1,1,"poisson",0.0464446492609322,0.5
"38",300,1,2,30,4,1,1,"poisson",0.0442260193805323,0.5
"39",300,1,2,32,3,1,1,"poisson",0.0611532295640263,0.5
"40",300,1,2,34,3,1,1,"poisson",0.0521368901990619,0.5
"41",300,1,2,36,2,1,1,"poisson",0.0762635884838068,0.5
"42",300,1,2,38,2,1,1,"poisson",0.0772797462815394,0.5
"43",300,1,2,40,2,1,1,"poisson",0.0741346512663376,0.5
"44",300,1,2,42,1,1,1,"poisson",0.151051943093524,0.5
"45",300,1,2,44,1,1,1,"poisson",0.146946961194039,0.5
"46",300,1,2,46,1,1,1,"poisson",0.146693886041657,0.5
"47",300,1,2,48,1,1,1,"poisson",0.134732725407662,0.5
"48",300,1,2,50,1,1,1,"poisson",0.127282812172352,0.5
"49",300,1,10,4,58,1,1,"poisson",0.0318801732321001,0.5
"50",300,1,10,6,37,1,1,"poisson",0.0289460702926435,0.5
"51",300,1,10,8,27,1,1,"poisson",0.035821955029832,0.5
"52",300,1,10,10,21,1,1,"poisson",0.0346032818075128,0.5
"53",300,1,10,12,16,1,1,"poisson",0.0361535315688257,0.5
"54",300,1,10,14,13,1,1,"poisson",0.0311292786903254,0.5
"55",300,1,10,16,11,1,1,"poisson",0.0328736163839859,0.5
"56",300,1,10,18,9,1,1,"poisson",0.0435899125184291,0.5
"57",300,1,10,20,8,1,1,"poisson",0.0358240467837071,0.5
"58",300,1,10,22,7,1,1,"poisson",0.0413304076723084,0.5
"59",300,1,10,24,6,1,1,"poisson",0.0454567391981156,0.5
"60",300,1,10,26,5,1,1,"poisson",0.0496042067326792,0.5
"61",300,1,10,28,4,1,1,"poisson",0.0487215995368331,0.5
"62",300,1,10,30,4,1,1,"poisson",0.0423546045982682,0.5
"63",300,1,10,32,3,1,1,"poisson",0.0644569216028802,0.5
"64",300,1,10,34,3,1,1,"poisson",0.0504139794319691,0.5
"65",300,1,10,36,2,1,1,"poisson",0.0736745536227612,0.5
"66",300,1,10,38,2,1,1,"poisson",0.0730028699788467,0.5
"67",300,1,10,40,2,1,1,"poisson",0.0679454269619183,0.5
"68",300,1,10,42,1,1,1,"poisson",0.173987602831577,0.5
"69",300,1,10,44,1,1,1,"poisson",0.1628801120417,0.5
"70",300,1,10,46,1,1,1,"poisson",0.167919901823367,0.5
"71",300,1,10,48,1,1,1,"poisson",0.1124885295243,0.5
"72",300,1,10,50,1,1,1,"poisson",0.128234938513635,0.5
