"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,0.5,4,231,1,1,"normal",0.00732457392128044,0.5
"2",300,1,0.5,6,147,1,1,"normal",0.00904295231294444,0.5
"3",300,1,0.5,8,106,1,1,"normal",0.00868114499956829,0.5
"4",300,1,0.5,10,81,1,1,"normal",0.0104841110003567,0.5
"5",300,1,0.5,12,64,1,1,"normal",0.010922407204569,0.5
"6",300,1,0.5,14,52,1,1,"normal",0.0117470457446458,0.5
"7",300,1,0.5,16,43,1,1,"normal",0.0114644425838085,0.5
"8",300,1,0.5,18,36,1,1,"normal",0.0133218506280808,0.5
"9",300,1,0.5,20,31,1,1,"normal",0.0114818003931743,0.5
"10",300,1,0.5,22,26,1,1,"normal",0.0135421141862553,0.5
"11",300,1,0.5,24,22,1,1,"normal",0.0148069110617431,0.5
"12",300,1,0.5,26,19,1,1,"normal",0.0163657673529035,0.5
"13",300,1,0.5,28,16,1,1,"normal",0.0190816039809939,0.5
"14",300,1,0.5,30,14,1,1,"normal",0.0202727747239232,0.5
"15",300,1,0.5,32,12,1,1,"normal",0.0180346005499004,0.5
"16",300,1,0.5,34,10,1,1,"normal",0.0224663258249873,0.5
"17",300,1,0.5,36,8,1,1,"normal",0.0256067058659401,0.5
"18",300,1,0.5,38,7,1,1,"normal",0.0312081484717909,0.5
"19",300,1,0.5,40,6,1,1,"normal",0.0304218645312728,0.5
"20",300,1,0.5,42,4,1,1,"normal",0.0448058459207072,0.5
"21",300,1,0.5,44,3,1,1,"normal",0.0518260152435199,0.5
"22",300,1,0.5,46,2,1,1,"normal",0.0906539467137095,0.5
"23",300,1,0.5,48,1,1,1,"normal",0.190232301049022,0.5
"24",300,1,0.5,50,1,1,1,"normal",0.18408345132847,0.5
"25",300,1,2,4,231,1,1,"normal",0.00938523287316028,0.5
"26",300,1,2,6,147,1,1,"normal",0.00905391777284418,0.5
"27",300,1,2,8,106,1,1,"normal",0.00914640800900933,0.5
"28",300,1,2,10,81,1,1,"normal",0.00983379300184269,0.5
"29",300,1,2,12,64,1,1,"normal",0.00988762398662506,0.5
"30",300,1,2,14,52,1,1,"normal",0.0117997038851036,0.5
"31",300,1,2,16,43,1,1,"normal",0.0120723743962336,0.5
"32",300,1,2,18,36,1,1,"normal",0.0118261626866595,0.5
"33",300,1,2,20,31,1,1,"normal",0.0126480247969595,0.5
"34",300,1,2,22,26,1,1,"normal",0.0136367936314818,0.5
"35",300,1,2,24,22,1,1,"normal",0.0152629046672169,0.5
"36",300,1,2,26,19,1,1,"normal",0.0143188532203396,0.5
"37",300,1,2,28,16,1,1,"normal",0.0192346673984134,0.5
"38",300,1,2,30,14,1,1,"normal",0.0192148841059466,0.5
"39",300,1,2,32,12,1,1,"normal",0.0211956838337242,0.5
"40",300,1,2,34,10,1,1,"normal",0.0258622001289521,0.5
"41",300,1,2,36,8,1,1,"normal",0.0280818255559003,0.5
"42",300,1,2,38,7,1,1,"normal",0.0297351698823421,0.5
"43",300,1,2,40,6,1,1,"normal",0.0305164534381103,0.5
"44",300,1,2,42,4,1,1,"normal",0.0528112616523539,0.5
"45",300,1,2,44,3,1,1,"normal",0.0594891452432317,0.5
"46",300,1,2,46,2,1,1,"normal",0.089092175158199,0.5
"47",300,1,2,48,1,1,1,"normal",0.15212651449478,0.5
"48",300,1,2,50,1,1,1,"normal",0.154634377449938,0.5
"49",300,1,10,4,231,1,1,"normal",0.0077330649540872,0.5
"50",300,1,10,6,147,1,1,"normal",0.00915295356655968,0.5
"51",300,1,10,8,106,1,1,"normal",0.0105262328057023,0.5
"52",300,1,10,10,81,1,1,"normal",0.0101586120959138,0.5
"53",300,1,10,12,64,1,1,"normal",0.00982756471275866,0.5
"54",300,1,10,14,52,1,1,"normal",0.0120994756384612,0.5
"55",300,1,10,16,43,1,1,"normal",0.0111035429745207,0.5
"56",300,1,10,18,36,1,1,"normal",0.0119916066842715,0.5
"57",300,1,10,20,31,1,1,"normal",0.0131083635604887,0.5
"58",300,1,10,22,26,1,1,"normal",0.0149055282022798,0.5
"59",300,1,10,24,22,1,1,"normal",0.0136525480895392,0.5
"60",300,1,10,26,19,1,1,"normal",0.013669393923678,0.5
"61",300,1,10,28,16,1,1,"normal",0.0153536024433411,0.5
"62",300,1,10,30,14,1,1,"normal",0.0200387961186349,0.5
"63",300,1,10,32,12,1,1,"normal",0.0195942257197746,0.5
"64",300,1,10,34,10,1,1,"normal",0.0235295418336209,0.5
"65",300,1,10,36,8,1,1,"normal",0.0291715047228618,0.5
"66",300,1,10,38,7,1,1,"normal",0.0354944331499112,0.5
"67",300,1,10,40,6,1,1,"normal",0.0360397207067871,0.5
"68",300,1,10,42,4,1,1,"normal",0.0475566913785908,0.5
"69",300,1,10,44,3,1,1,"normal",0.0595513466119583,0.5
"70",300,1,10,46,2,1,1,"normal",0.0995436894198412,0.5
"71",300,1,10,48,1,1,1,"normal",0.158670501926654,0.5
"72",300,1,10,50,1,1,1,"normal",0.15004604942729,0.5
