"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,0.5,4,231,1,1,"poisson",0.00672672714276846,0.5
"2",300,1,0.5,6,147,1,1,"poisson",0.00901690224965374,0.5
"3",300,1,0.5,8,106,1,1,"poisson",0.00830101146908177,0.5
"4",300,1,0.5,10,81,1,1,"poisson",0.0101398198381974,0.5
"5",300,1,0.5,12,64,1,1,"poisson",0.0090309679928686,0.5
"6",300,1,0.5,14,52,1,1,"poisson",0.00903158060308392,0.5
"7",300,1,0.5,16,43,1,1,"poisson",0.0120043973404776,0.5
"8",300,1,0.5,18,36,1,1,"poisson",0.00953198834616521,0.5
"9",300,1,0.5,20,31,1,1,"poisson",0.0111118840362297,0.5
"10",300,1,0.5,22,26,1,1,"poisson",0.0118295519157665,0.5
"11",300,1,0.5,24,22,1,1,"poisson",0.0140552712839695,0.5
"12",300,1,0.5,26,19,1,1,"poisson",0.0127333555158557,0.5
"13",300,1,0.5,28,16,1,1,"poisson",0.0159708162466543,0.5
"14",300,1,0.5,30,14,1,1,"poisson",0.0170055688685078,0.5
"15",300,1,0.5,32,12,1,1,"poisson",0.0161659552258692,0.5
"16",300,1,0.5,34,10,1,1,"poisson",0.0190903647242824,0.5
"17",300,1,0.5,36,8,1,1,"poisson",0.0227362409847356,0.5
"18",300,1,0.5,38,7,1,1,"poisson",0.0252998215207154,0.5
"19",300,1,0.5,40,6,1,1,"poisson",0.0288688260608057,0.5
"20",300,1,0.5,42,4,1,1,"poisson",0.0410811603424305,0.5
"21",300,1,0.5,44,3,1,1,"poisson",0.0464611247438387,0.5
"22",300,1,0.5,46,2,1,1,"poisson",0.0580343209853435,0.5
"23",300,1,0.5,48,1,1,1,"poisson",0.139581126791421,0.5
"24",300,1,0.5,50,1,1,1,"poisson",0.110659494488882,0.5
"25",300,1,2,4,231,1,1,"poisson",0.0077068907383043,0.5
"26",300,1,2,6,147,1,1,"poisson",0.00895452357312076,0.5
"27",300,1,2,8,106,1,1,"poisson",0.0092229123046661,0.5
"28",300,1,2,10,81,1,1,"poisson",0.00895032500138291,0.5
"29",300,1,2,12,64,1,1,"poisson",0.0100609823617782,0.5
"30",300,1,2,14,52,1,1,"poisson",0.00914354548751915,0.5
"31",300,1,2,16,43,1,1,"poisson",0.00923654075543433,0.5
"32",300,1,2,18,36,1,1,"poisson",0.0120130888921227,0.5
"33",300,1,2,20,31,1,1,"poisson",0.00991116046658292,0.5
"34",300,1,2,22,26,1,1,"poisson",0.0130497915893352,0.5
"35",300,1,2,24,22,1,1,"poisson",0.0122037632213571,0.5
"36",300,1,2,26,19,1,1,"poisson",0.0147620439999025,0.5
"37",300,1,2,28,16,1,1,"poisson",0.0137867026308848,0.5
"38",300,1,2,30,14,1,1,"poisson",0.0170298324173078,0.5
"39",300,1,2,32,12,1,1,"poisson",0.0151737752004464,0.5
"40",300,1,2,34,10,1,1,"poisson",0.0182351436063491,0.5
"41",300,1,2,36,8,1,1,"poisson",0.0202174918319658,0.5
"42",300,1,2,38,7,1,1,"poisson",0.0246312904945594,0.5
"43",300,1,2,40,6,1,1,"poisson",0.0282245236450358,0.5
"44",300,1,2,42,4,1,1,"poisson",0.0357001578299456,0.5
"45",300,1,2,44,3,1,1,"poisson",0.0444740038227343,0.5
"46",300,1,2,46,2,1,1,"poisson",0.0583465057801686,0.5
"47",300,1,2,48,1,1,1,"poisson",0.133578502140128,0.5
"48",300,1,2,50,1,1,1,"poisson",0.124404375299293,0.5
"49",300,1,10,4,231,1,1,"poisson",0.00668860350909787,0.5
"50",300,1,10,6,147,1,1,"poisson",0.00752873932367371,0.5
"51",300,1,10,8,106,1,1,"poisson",0.00917902583070128,0.5
"52",300,1,10,10,81,1,1,"poisson",0.00810948395193926,0.5
"53",300,1,10,12,64,1,1,"poisson",0.0104791532485477,0.5
"54",300,1,10,14,52,1,1,"poisson",0.00832296082148598,0.5
"55",300,1,10,16,43,1,1,"poisson",0.010086040938341,0.5
"56",300,1,10,18,36,1,1,"poisson",0.0117024739737381,0.5
"57",300,1,10,20,31,1,1,"poisson",0.0100793535131948,0.5
"58",300,1,10,22,26,1,1,"poisson",0.010866020914272,0.5
"59",300,1,10,24,22,1,1,"poisson",0.0121347473189131,0.5
"60",300,1,10,26,19,1,1,"poisson",0.0137698766558484,0.5
"61",300,1,10,28,16,1,1,"poisson",0.0137348155454184,0.5
"62",300,1,10,30,14,1,1,"poisson",0.0141226426100734,0.5
"63",300,1,10,32,12,1,1,"poisson",0.0169587590476064,0.5
"64",300,1,10,34,10,1,1,"poisson",0.0205330006416683,0.5
"65",300,1,10,36,8,1,1,"poisson",0.0205137717584633,0.5
"66",300,1,10,38,7,1,1,"poisson",0.0259757907391954,0.5
"67",300,1,10,40,6,1,1,"poisson",0.0257595262286758,0.5
"68",300,1,10,42,4,1,1,"poisson",0.0348251801405245,0.5
"69",300,1,10,44,3,1,1,"poisson",0.0356764379421298,0.5
"70",300,1,10,46,2,1,1,"poisson",0.0543690112027635,0.5
"71",300,1,10,48,1,1,1,"poisson",0.139130602171143,0.5
"72",300,1,10,50,1,1,1,"poisson",0.130980660834515,0.5
