"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,0.5,2,4,58,1,1,"normal",0.0401010227984229,0.5
"2",300,0.5,2,6,37,1,1,"normal",0.0360476720825645,0.5
"3",300,0.5,2,8,27,1,1,"normal",0.0366109044730314,0.5
"4",300,0.5,2,10,21,1,1,"normal",0.0318095392909026,0.5
"5",300,0.5,2,12,16,1,1,"normal",0.0431034987663138,0.5
"6",300,0.5,2,14,13,1,1,"normal",0.042015208091951,0.5
"7",300,0.5,2,16,11,1,1,"normal",0.0470282746837275,0.5
"8",300,0.5,2,18,9,1,1,"normal",0.0452461955279501,0.5
"9",300,0.5,2,20,8,1,1,"normal",0.0491894770713852,0.5
"10",300,0.5,2,22,7,1,1,"normal",0.0525594730594643,0.5
"11",300,0.5,2,24,6,1,1,"normal",0.053482220308734,0.5
"12",300,0.5,2,26,5,1,1,"normal",0.0592191983333236,0.5
"13",300,0.5,2,28,4,1,1,"normal",0.0647926107936212,0.5
"14",300,0.5,2,30,4,1,1,"normal",0.0671629798930861,0.5
"15",300,0.5,2,32,3,1,1,"normal",0.0881614802250753,0.5
"16",300,0.5,2,34,3,1,1,"normal",0.0824745481446426,0.5
"17",300,0.5,2,36,2,1,1,"normal",0.123341096453292,0.5
"18",300,0.5,2,38,2,1,1,"normal",0.106938349721862,0.5
"19",300,0.5,2,40,2,1,1,"normal",0.0961951720760632,0.5
"20",300,0.5,2,42,1,1,1,"normal",0.160609360689396,0.5
"21",300,0.5,2,44,1,1,1,"normal",0.166788238057599,0.5
"22",300,0.5,2,46,1,1,1,"normal",0.154243294369609,0.5
"23",300,0.5,2,48,1,1,1,"normal",0.173521603117054,0.5
"24",300,0.5,2,50,1,1,1,"normal",0.154336871894213,0.5
"25",300,2,2,4,58,1,1,"normal",0.0401211834927263,0.5
"26",300,2,2,6,37,1,1,"normal",0.0379963322299367,0.5
"27",300,2,2,8,27,1,1,"normal",0.0393834172287544,0.5
"28",300,2,2,10,21,1,1,"normal",0.0432830019375009,0.5
"29",300,2,2,12,16,1,1,"normal",0.0416172561234623,0.5
"30",300,2,2,14,13,1,1,"normal",0.0507572001247779,0.5
"31",300,2,2,16,11,1,1,"normal",0.0392945138444878,0.5
"32",300,2,2,18,9,1,1,"normal",0.0582755584346537,0.5
"33",300,2,2,20,8,1,1,"normal",0.0462313667595005,0.5
"34",300,2,2,22,7,1,1,"normal",0.0582702045698964,0.5
"35",300,2,2,24,6,1,1,"normal",0.0476787597837285,0.5
"36",300,2,2,26,5,1,1,"normal",0.0560424288940409,0.5
"37",300,2,2,28,4,1,1,"normal",0.0720308819371094,0.5
"38",300,2,2,30,4,1,1,"normal",0.0588865633122123,0.5
"39",300,2,2,32,3,1,1,"normal",0.0764051536910045,0.5
"40",300,2,2,34,3,1,1,"normal",0.0759893717403092,0.5
"41",300,2,2,36,2,1,1,"normal",0.116184154865663,0.5
"42",300,2,2,38,2,1,1,"normal",0.107717097557392,0.5
"43",300,2,2,40,2,1,1,"normal",0.102807958872775,0.5
"44",300,2,2,42,1,1,1,"normal",0.197597438530991,0.5
"45",300,2,2,44,1,1,1,"normal",0.18998723744893,0.5
"46",300,2,2,46,1,1,1,"normal",0.189569465361457,0.5
"47",300,2,2,48,1,1,1,"normal",0.147504069640006,0.5
"48",300,2,2,50,1,1,1,"normal",0.158157783225079,0.5
"49",300,10,2,4,58,1,1,"normal",0.0312279022107421,0.5
"50",300,10,2,6,37,1,1,"normal",0.0311889464213812,0.5
"51",300,10,2,8,27,1,1,"normal",0.0369954685329449,0.5
"52",300,10,2,10,21,1,1,"normal",0.040137306645159,0.5
"53",300,10,2,12,16,1,1,"normal",0.0383392848651381,0.5
"54",300,10,2,14,13,1,1,"normal",0.0404153658599458,0.5
"55",300,10,2,16,11,1,1,"normal",0.0452100881968276,0.5
"56",300,10,2,18,9,1,1,"normal",0.0551918719706311,0.5
"57",300,10,2,20,8,1,1,"normal",0.0529428467265336,0.5
"58",300,10,2,22,7,1,1,"normal",0.052830382963356,0.5
"59",300,10,2,24,6,1,1,"normal",0.0520524697833858,0.5
"60",300,10,2,26,5,1,1,"normal",0.0640046093677947,0.5
"61",300,10,2,28,4,1,1,"normal",0.0592284452900381,0.5
"62",300,10,2,30,4,1,1,"normal",0.0577806980697246,0.5
"63",300,10,2,32,3,1,1,"normal",0.0888483624502703,0.5
"64",300,10,2,34,3,1,1,"normal",0.0804365174897618,0.5
"65",300,10,2,36,2,1,1,"normal",0.104177251399635,0.5
"66",300,10,2,38,2,1,1,"normal",0.118531256124835,0.5
"67",300,10,2,40,2,1,1,"normal",0.0790276848214528,0.5
"68",300,10,2,42,1,1,1,"normal",0.197338673864432,0.5
"69",300,10,2,44,1,1,1,"normal",0.182926767439167,0.5
"70",300,10,2,46,1,1,1,"normal",0.139116669705159,0.5
"71",300,10,2,48,1,1,1,"normal",0.153170129482903,0.5
"72",300,10,2,50,1,1,1,"normal",0.149559829407862,0.5
