"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,0.5,2,4,231,1,1,"poisson",0.00703757568839738,0.5
"2",300,0.5,2,6,147,1,1,"poisson",0.00947780131793119,0.5
"3",300,0.5,2,8,106,1,1,"poisson",0.00907800941600286,0.5
"4",300,0.5,2,10,81,1,1,"poisson",0.00929250364818361,0.5
"5",300,0.5,2,12,64,1,1,"poisson",0.00923717434719932,0.5
"6",300,0.5,2,14,52,1,1,"poisson",0.0106591665528699,0.5
"7",300,0.5,2,16,43,1,1,"poisson",0.011184863902581,0.5
"8",300,0.5,2,18,36,1,1,"poisson",0.00993247335326967,0.5
"9",300,0.5,2,20,31,1,1,"poisson",0.0116807362558551,0.5
"10",300,0.5,2,22,26,1,1,"poisson",0.0125152591483718,0.5
"11",300,0.5,2,24,22,1,1,"poisson",0.0124059416183002,0.5
"12",300,0.5,2,26,19,1,1,"poisson",0.0142654918301632,0.5
"13",300,0.5,2,28,16,1,1,"poisson",0.0144054360095017,0.5
"14",300,0.5,2,30,14,1,1,"poisson",0.0143030552993054,0.5
"15",300,0.5,2,32,12,1,1,"poisson",0.0170246198430046,0.5
"16",300,0.5,2,34,10,1,1,"poisson",0.0197998273533875,0.5
"17",300,0.5,2,36,8,1,1,"poisson",0.0243568573565245,0.5
"18",300,0.5,2,38,7,1,1,"poisson",0.0210217460909781,0.5
"19",300,0.5,2,40,6,1,1,"poisson",0.0313669094861644,0.5
"20",300,0.5,2,42,4,1,1,"poisson",0.0355766361987183,0.5
"21",300,0.5,2,44,3,1,1,"poisson",0.0487874014266636,0.5
"22",300,0.5,2,46,2,1,1,"poisson",0.059290778076098,0.5
"23",300,0.5,2,48,1,1,1,"poisson",0.125217828742504,0.5
"24",300,0.5,2,50,1,1,1,"poisson",0.130511543677382,0.5
"25",300,2,2,4,231,1,1,"poisson",0.00735515811890383,0.5
"26",300,2,2,6,147,1,1,"poisson",0.008539073765867,0.5
"27",300,2,2,8,106,1,1,"poisson",0.00830037615275146,0.5
"28",300,2,2,10,81,1,1,"poisson",0.00708185389372765,0.5
"29",300,2,2,12,64,1,1,"poisson",0.00863206056536528,0.5
"30",300,2,2,14,52,1,1,"poisson",0.00936299516152589,0.5
"31",300,2,2,16,43,1,1,"poisson",0.0117141036993625,0.5
"32",300,2,2,18,36,1,1,"poisson",0.0106211730640091,0.5
"33",300,2,2,20,31,1,1,"poisson",0.0113494149443907,0.5
"34",300,2,2,22,26,1,1,"poisson",0.0109932566833791,0.5
"35",300,2,2,24,22,1,1,"poisson",0.0129400819270741,0.5
"36",300,2,2,26,19,1,1,"poisson",0.013031040239218,0.5
"37",300,2,2,28,16,1,1,"poisson",0.0133251131555542,0.5
"38",300,2,2,30,14,1,1,"poisson",0.0146898390457364,0.5
"39",300,2,2,32,12,1,1,"poisson",0.0163011662398768,0.5
"40",300,2,2,34,10,1,1,"poisson",0.0166608007579255,0.5
"41",300,2,2,36,8,1,1,"poisson",0.0205702637836209,0.5
"42",300,2,2,38,7,1,1,"poisson",0.0232217745333688,0.5
"43",300,2,2,40,6,1,1,"poisson",0.02167343313385,0.5
"44",300,2,2,42,4,1,1,"poisson",0.0301822694598812,0.5
"45",300,2,2,44,3,1,1,"poisson",0.0346626385718882,0.5
"46",300,2,2,46,2,1,1,"poisson",0.0531257291911889,0.5
"47",300,2,2,48,1,1,1,"poisson",0.11786931835831,0.5
"48",300,2,2,50,1,1,1,"poisson",0.123296286370203,0.5
"49",300,10,2,4,231,1,1,"poisson",0.00799986976771884,0.5
"50",300,10,2,6,147,1,1,"poisson",0.00748719965704836,0.5
"51",300,10,2,8,106,1,1,"poisson",0.00869423195540388,0.5
"52",300,10,2,10,81,1,1,"poisson",0.00844303204345972,0.5
"53",300,10,2,12,64,1,1,"poisson",0.00849347028421196,0.5
"54",300,10,2,14,52,1,1,"poisson",0.00783763051212355,0.5
"55",300,10,2,16,43,1,1,"poisson",0.00944656918361603,0.5
"56",300,10,2,18,36,1,1,"poisson",0.0098428754216043,0.5
"57",300,10,2,20,31,1,1,"poisson",0.0103763131943081,0.5
"58",300,10,2,22,26,1,1,"poisson",0.010029872741501,0.5
"59",300,10,2,24,22,1,1,"poisson",0.0106298679552878,0.5
"60",300,10,2,26,19,1,1,"poisson",0.0110907964278032,0.5
"61",300,10,2,28,16,1,1,"poisson",0.0149806834409704,0.5
"62",300,10,2,30,14,1,1,"poisson",0.0145908466516741,0.5
"63",300,10,2,32,12,1,1,"poisson",0.0144991437590633,0.5
"64",300,10,2,34,10,1,1,"poisson",0.0170955001380635,0.5
"65",300,10,2,36,8,1,1,"poisson",0.0183608193424236,0.5
"66",300,10,2,38,7,1,1,"poisson",0.0218623867968871,0.5
"67",300,10,2,40,6,1,1,"poisson",0.0220967139436409,0.5
"68",300,10,2,42,4,1,1,"poisson",0.0339872030165408,0.5
"69",300,10,2,44,3,1,1,"poisson",0.0348281529022029,0.5
"70",300,10,2,46,2,1,1,"poisson",0.0522425853642956,0.5
"71",300,10,2,48,1,1,1,"poisson",0.123584749974137,0.5
"72",300,10,2,50,1,1,1,"poisson",0.14002967309016,0.5
