"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,2,4,58,0.333333333333333,1,"poisson",0.00497034273678095,0.1
"2",300,1,2,4,58,1,1,"poisson",0.0281652314868747,0.5
"3",300,1,2,4,58,3,1,"poisson",1.15373159633583,0.9
"4",300,1,2,6,37,0.333333333333333,1,"poisson",0.00592409150312662,0.1
"5",300,1,2,6,37,1,1,"poisson",0.0293404725979932,0.5
"6",300,1,2,6,37,3,1,"poisson",0.736040098628824,0.9
"7",300,1,2,8,27,0.333333333333333,1,"poisson",0.00569890151742536,0.1
"8",300,1,2,8,27,1,1,"poisson",0.0277998003651726,0.5
"9",300,1,2,8,27,3,1,"poisson",0.629228862579594,0.9
"10",300,1,2,10,21,0.333333333333333,1,"poisson",0.00581204148229185,0.1
"11",300,1,2,10,21,1,1,"poisson",0.0314507898197466,0.5
"12",300,1,2,10,21,3,1,"poisson",0.620590517507699,0.9
"13",300,1,2,12,16,0.333333333333333,1,"poisson",0.00668805093330783,0.1
"14",300,1,2,12,16,1,1,"poisson",0.031772504378458,0.5
"15",300,1,2,12,16,3,1,"poisson",0.664176598096765,0.9
"16",300,1,2,14,13,0.333333333333333,1,"poisson",0.00673930328862506,0.1
"17",300,1,2,14,13,1,1,"poisson",0.0342517526850087,0.5
"18",300,1,2,14,13,3,1,"poisson",0.59859915634007,0.9
"19",300,1,2,16,11,0.333333333333333,1,"poisson",0.00644666962700813,0.1
"20",300,1,2,16,11,1,1,"poisson",0.037582740579894,0.5
"21",300,1,2,16,11,3,1,"poisson",0.624648175035561,0.9
"22",300,1,2,18,9,0.333333333333333,1,"poisson",0.00672906363561621,0.1
"23",300,1,2,18,9,1,1,"poisson",0.0384893036552119,0.5
"24",300,1,2,18,9,3,1,"poisson",0.587167721173123,0.9
"25",300,1,2,20,8,0.333333333333333,1,"poisson",0.00727931456916515,0.1
"26",300,1,2,20,8,1,1,"poisson",0.0330461898366221,0.5
"27",300,1,2,20,8,3,1,"poisson",0.61133852200398,0.9
"28",300,1,2,22,7,0.333333333333333,1,"poisson",0.00690957785762387,0.1
"29",300,1,2,22,7,1,1,"poisson",0.0468589926669975,0.5
"30",300,1,2,22,7,3,1,"poisson",0.593376198853392,0.9
"31",300,1,2,24,6,0.333333333333333,1,"poisson",0.00844635375102022,0.1
"32",300,1,2,24,6,1,1,"poisson",0.0406187227015092,0.5
"33",300,1,2,24,6,3,1,"poisson",0.499265598725187,0.9
"34",300,1,2,26,5,0.333333333333333,1,"poisson",0.00984558273217643,0.1
"35",300,1,2,26,5,1,1,"poisson",0.0486606338096156,0.5
"36",300,1,2,26,5,3,1,"poisson",0.536847983873156,0.9
"37",300,1,2,28,4,0.333333333333333,1,"poisson",0.0141350466264441,0.1
"38",300,1,2,28,4,1,1,"poisson",0.0502252437964702,0.5
"39",300,1,2,28,4,3,1,"poisson",0.608817697417771,0.9
"40",300,1,2,30,4,0.333333333333333,1,"poisson",0.011117241346293,0.1
"41",300,1,2,30,4,1,1,"poisson",0.0459101649682336,0.5
"42",300,1,2,30,4,3,1,"poisson",0.492016848726892,0.9
"43",300,1,2,32,3,0.333333333333333,1,"poisson",0.0132311415189307,0.1
"44",300,1,2,32,3,1,1,"poisson",0.0547650394662835,0.5
"45",300,1,2,32,3,3,1,"poisson",0.516958586098813,0.9
"46",300,1,2,34,3,0.333333333333333,1,"poisson",0.0126846290629439,0.1
"47",300,1,2,34,3,1,1,"poisson",0.0593401962446598,0.5
"48",300,1,2,34,3,3,1,"poisson",0.522215699246283,0.9
"49",300,1,2,36,2,0.333333333333333,1,"poisson",0.0145253827321298,0.1
"50",300,1,2,36,2,1,1,"poisson",0.0785289471570156,0.5
"51",300,1,2,36,2,3,1,"poisson",0.65923445103413,0.9
"52",300,1,2,38,2,0.333333333333333,1,"poisson",0.0195788260799445,0.1
"53",300,1,2,38,2,1,1,"poisson",0.0715395064038318,0.5
"54",300,1,2,38,2,3,1,"poisson",0.581103833778755,0.9
"55",300,1,2,40,2,0.333333333333333,1,"poisson",0.0139604401326078,0.1
"56",300,1,2,40,2,1,1,"poisson",0.0663903017859396,0.5
"57",300,1,2,40,2,3,1,"poisson",0.640276824296897,0.9
"58",300,1,2,42,1,0.333333333333333,1,"poisson",0.0302783901905125,0.1
"59",300,1,2,42,1,1,1,"poisson",0.165199829701383,0.5
"60",300,1,2,42,1,3,1,"poisson",4.10309668134763,0.9
"61",300,1,2,44,1,0.333333333333333,1,"poisson",0.0269787669831138,0.1
"62",300,1,2,44,1,1,1,"poisson",0.138316888620545,0.5
"63",300,1,2,44,1,3,1,"poisson",3.02190580086839,0.9
"64",300,1,2,46,1,0.333333333333333,1,"poisson",0.0298131284126569,0.1
"65",300,1,2,46,1,1,1,"poisson",0.15017736292072,0.5
"66",300,1,2,46,1,3,1,"poisson",3.75735537608356,0.9
"67",300,1,2,48,1,0.333333333333333,1,"poisson",0.0247465066283189,0.1
"68",300,1,2,48,1,1,1,"poisson",0.137879054173044,0.5
"69",300,1,2,48,1,3,1,"poisson",3.20417003982254,0.9
"70",300,1,2,50,1,0.333333333333333,1,"poisson",0.0265376949491411,0.1
"71",300,1,2,50,1,1,1,"poisson",0.155585123523159,0.5
"72",300,1,2,50,1,3,1,"poisson",2.84733912123596,0.9
