"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,2,4,58,1,0.333333333333333,"poisson",0.0267761804750849,0.9
"2",300,1,2,4,58,1,1,"poisson",0.0295895978577648,0.5
"3",300,1,2,4,58,1,3,"poisson",0.0321104076619486,0.1
"4",300,1,2,6,37,1,0.333333333333333,"poisson",0.032042276161635,0.9
"5",300,1,2,6,37,1,1,"poisson",0.029509900917684,0.5
"6",300,1,2,6,37,1,3,"poisson",0.0310600821500796,0.1
"7",300,1,2,8,27,1,0.333333333333333,"poisson",0.0315808611412959,0.9
"8",300,1,2,8,27,1,1,"poisson",0.0289228648497059,0.5
"9",300,1,2,8,27,1,3,"poisson",0.0267826797510731,0.1
"10",300,1,2,10,21,1,0.333333333333333,"poisson",0.0330943358041365,0.9
"11",300,1,2,10,21,1,1,"poisson",0.0315109400275039,0.5
"12",300,1,2,10,21,1,3,"poisson",0.0370270519736928,0.1
"13",300,1,2,12,16,1,0.333333333333333,"poisson",0.034414849878623,0.9
"14",300,1,2,12,16,1,1,"poisson",0.0341206085111807,0.5
"15",300,1,2,12,16,1,3,"poisson",0.0367980309753295,0.1
"16",300,1,2,14,13,1,0.333333333333333,"poisson",0.0324026686450456,0.9
"17",300,1,2,14,13,1,1,"poisson",0.0395809525589676,0.5
"18",300,1,2,14,13,1,3,"poisson",0.0386804523458874,0.1
"19",300,1,2,16,11,1,0.333333333333333,"poisson",0.0399747959970184,0.9
"20",300,1,2,16,11,1,1,"poisson",0.0317656772959438,0.5
"21",300,1,2,16,11,1,3,"poisson",0.0400089934797311,0.1
"22",300,1,2,18,9,1,0.333333333333333,"poisson",0.03754312195533,0.9
"23",300,1,2,18,9,1,1,"poisson",0.0330903182966391,0.5
"24",300,1,2,18,9,1,3,"poisson",0.0409110301319554,0.1
"25",300,1,2,20,8,1,0.333333333333333,"poisson",0.0350120368862618,0.9
"26",300,1,2,20,8,1,1,"poisson",0.037076309769653,0.5
"27",300,1,2,20,8,1,3,"poisson",0.038805501765872,0.1
"28",300,1,2,22,7,1,0.333333333333333,"poisson",0.0411083220329053,0.9
"29",300,1,2,22,7,1,1,"poisson",0.0372974070247726,0.5
"30",300,1,2,22,7,1,3,"poisson",0.0348599735676388,0.1
"31",300,1,2,24,6,1,0.333333333333333,"poisson",0.0430185502861124,0.9
"32",300,1,2,24,6,1,1,"poisson",0.0457811866437883,0.5
"33",300,1,2,24,6,1,3,"poisson",0.0401864762496114,0.1
"34",300,1,2,26,5,1,0.333333333333333,"poisson",0.0449685789757177,0.9
"35",300,1,2,26,5,1,1,"poisson",0.0465011393145531,0.5
"36",300,1,2,26,5,1,3,"poisson",0.0491923295121114,0.1
"37",300,1,2,28,4,1,0.333333333333333,"poisson",0.0504998042089288,0.9
"38",300,1,2,28,4,1,1,"poisson",0.0493979935189985,0.5
"39",300,1,2,28,4,1,3,"poisson",0.0546603719754224,0.1
"40",300,1,2,30,4,1,0.333333333333333,"poisson",0.0539639364073415,0.9
"41",300,1,2,30,4,1,1,"poisson",0.0502483252905715,0.5
"42",300,1,2,30,4,1,3,"poisson",0.0468876119786983,0.1
"43",300,1,2,32,3,1,0.333333333333333,"poisson",0.0568441408568683,0.9
"44",300,1,2,32,3,1,1,"poisson",0.0550456210404975,0.5
"45",300,1,2,32,3,1,3,"poisson",0.0573162781227931,0.1
"46",300,1,2,34,3,1,0.333333333333333,"poisson",0.0625826108028425,0.9
"47",300,1,2,34,3,1,1,"poisson",0.0485907569840584,0.5
"48",300,1,2,34,3,1,3,"poisson",0.0446866297607962,0.1
"49",300,1,2,36,2,1,0.333333333333333,"poisson",0.087048288904971,0.9
"50",300,1,2,36,2,1,1,"poisson",0.0953768457507826,0.5
"51",300,1,2,36,2,1,3,"poisson",0.0784178128744123,0.1
"52",300,1,2,38,2,1,0.333333333333333,"poisson",0.073413627110044,0.9
"53",300,1,2,38,2,1,1,"poisson",0.0829928569759043,0.5
"54",300,1,2,38,2,1,3,"poisson",0.0612673794043544,0.1
"55",300,1,2,40,2,1,0.333333333333333,"poisson",0.0678731860516294,0.9
"56",300,1,2,40,2,1,1,"poisson",0.068389119010388,0.5
"57",300,1,2,40,2,1,3,"poisson",0.073449216039979,0.1
"58",300,1,2,42,1,1,0.333333333333333,"poisson",0.162250021185763,0.9
"59",300,1,2,42,1,1,1,"poisson",0.211062559349242,0.5
"60",300,1,2,42,1,1,3,"poisson",0.160161519700122,0.1
"61",300,1,2,44,1,1,0.333333333333333,"poisson",0.145850690371095,0.9
"62",300,1,2,44,1,1,1,"poisson",0.149102446550617,0.5
"63",300,1,2,44,1,1,3,"poisson",0.15944598785343,0.1
"64",300,1,2,46,1,1,0.333333333333333,"poisson",0.13138789622803,0.9
"65",300,1,2,46,1,1,1,"poisson",0.137945534525514,0.5
"66",300,1,2,46,1,1,3,"poisson",0.126001632091188,0.1
"67",300,1,2,48,1,1,0.333333333333333,"poisson",0.137259821481311,0.9
"68",300,1,2,48,1,1,1,"poisson",0.133810855670991,0.5
"69",300,1,2,48,1,1,3,"poisson",0.131062521233997,0.1
"70",300,1,2,50,1,1,0.333333333333333,"poisson",0.124396122391734,0.9
"71",300,1,2,50,1,1,1,"poisson",0.141276986077027,0.5
"72",300,1,2,50,1,1,3,"poisson",0.132488956869682,0.1
