"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,2,4,58,1,0.333333333333333,"normal",0.0192511794615231,0.9
"2",300,1,2,4,58,1,1,"normal",0.033619075350423,0.5
"3",300,1,2,4,58,1,3,"normal",0.168207241576849,0.1
"4",300,1,2,6,37,1,0.333333333333333,"normal",0.0198332583458798,0.9
"5",300,1,2,6,37,1,1,"normal",0.0339627727642193,0.5
"6",300,1,2,6,37,1,3,"normal",0.159127602633556,0.1
"7",300,1,2,8,27,1,0.333333333333333,"normal",0.0200343323005378,0.9
"8",300,1,2,8,27,1,1,"normal",0.0413865710007894,0.5
"9",300,1,2,8,27,1,3,"normal",0.179139537712902,0.1
"10",300,1,2,10,21,1,0.333333333333333,"normal",0.0194628069350912,0.9
"11",300,1,2,10,21,1,1,"normal",0.042893858552072,0.5
"12",300,1,2,10,21,1,3,"normal",0.203957057526325,0.1
"13",300,1,2,12,16,1,0.333333333333333,"normal",0.0253683627351116,0.9
"14",300,1,2,12,16,1,1,"normal",0.0369802763955279,0.5
"15",300,1,2,12,16,1,3,"normal",0.214314365853392,0.1
"16",300,1,2,14,13,1,0.333333333333333,"normal",0.0244173707039836,0.9
"17",300,1,2,14,13,1,1,"normal",0.0412426005848929,0.5
"18",300,1,2,14,13,1,3,"normal",0.210953339560896,0.1
"19",300,1,2,16,11,1,0.333333333333333,"normal",0.0238420542767406,0.9
"20",300,1,2,16,11,1,1,"normal",0.0429705942485016,0.5
"21",300,1,2,16,11,1,3,"normal",0.231296909490044,0.1
"22",300,1,2,18,9,1,0.333333333333333,"normal",0.0304197778168342,0.9
"23",300,1,2,18,9,1,1,"normal",0.0584242133537154,0.5
"24",300,1,2,18,9,1,3,"normal",0.238403154538457,0.1
"25",300,1,2,20,8,1,0.333333333333333,"normal",0.0265449963664379,0.9
"26",300,1,2,20,8,1,1,"normal",0.0523201682520806,0.5
"27",300,1,2,20,8,1,3,"normal",0.245223835117072,0.1
"28",300,1,2,22,7,1,0.333333333333333,"normal",0.0284544716665731,0.9
"29",300,1,2,22,7,1,1,"normal",0.0481458870513573,0.5
"30",300,1,2,22,7,1,3,"normal",0.269572289953583,0.1
"31",300,1,2,24,6,1,0.333333333333333,"normal",0.0320027171670236,0.9
"32",300,1,2,24,6,1,1,"normal",0.0468511360693935,0.5
"33",300,1,2,24,6,1,3,"normal",0.295636923948504,0.1
"34",300,1,2,26,5,1,0.333333333333333,"normal",0.0379779172124835,0.9
"35",300,1,2,26,5,1,1,"normal",0.0562774432429414,0.5
"36",300,1,2,26,5,1,3,"normal",0.338337530772462,0.1
"37",300,1,2,28,4,1,0.333333333333333,"normal",0.0425380219497488,0.9
"38",300,1,2,28,4,1,1,"normal",0.0715651189339757,0.5
"39",300,1,2,28,4,1,3,"normal",0.358847196777728,0.1
"40",300,1,2,30,4,1,0.333333333333333,"normal",0.0398221594811364,0.9
"41",300,1,2,30,4,1,1,"normal",0.0665880372205122,0.5
"42",300,1,2,30,4,1,3,"normal",0.313720191318485,0.1
"43",300,1,2,32,3,1,0.333333333333333,"normal",0.0460616804285896,0.9
"44",300,1,2,32,3,1,1,"normal",0.0904129970821854,0.5
"45",300,1,2,32,3,1,3,"normal",0.459925701938232,0.1
"46",300,1,2,34,3,1,0.333333333333333,"normal",0.0527174908465077,0.9
"47",300,1,2,34,3,1,1,"normal",0.0727656908599295,0.5
"48",300,1,2,34,3,1,3,"normal",0.345805738385744,0.1
"49",300,1,2,36,2,1,0.333333333333333,"normal",0.0619390490500131,0.9
"50",300,1,2,36,2,1,1,"normal",0.135279759772287,0.5
"51",300,1,2,36,2,1,3,"normal",0.47710881058408,0.1
"52",300,1,2,38,2,1,0.333333333333333,"normal",0.0572948565275349,0.9
"53",300,1,2,38,2,1,1,"normal",0.13257155422551,0.5
"54",300,1,2,38,2,1,3,"normal",0.5747144231828,0.1
"55",300,1,2,40,2,1,0.333333333333333,"normal",0.0525122865060414,0.9
"56",300,1,2,40,2,1,1,"normal",0.0912410845041911,0.5
"57",300,1,2,40,2,1,3,"normal",0.485591898476937,0.1
"58",300,1,2,42,1,1,0.333333333333333,"normal",0.101203973904553,0.9
"59",300,1,2,42,1,1,1,"normal",0.182964975744792,0.5
"60",300,1,2,42,1,1,3,"normal",1.09186609465685,0.1
"61",300,1,2,44,1,1,0.333333333333333,"normal",0.122806785949754,0.9
"62",300,1,2,44,1,1,1,"normal",0.192729287737548,0.5
"63",300,1,2,44,1,1,3,"normal",1.02839911163601,0.1
"64",300,1,2,46,1,1,0.333333333333333,"normal",0.0962846234672658,0.9
"65",300,1,2,46,1,1,1,"normal",0.155518086614903,0.5
"66",300,1,2,46,1,1,3,"normal",0.81263996815816,0.1
"67",300,1,2,48,1,1,0.333333333333333,"normal",0.0949160632800899,0.9
"68",300,1,2,48,1,1,1,"normal",0.152306179334449,0.5
"69",300,1,2,48,1,1,3,"normal",0.801182477844588,0.1
"70",300,1,2,50,1,1,0.333333333333333,"normal",0.0799487652487977,0.9
"71",300,1,2,50,1,1,1,"normal",0.154356448158874,0.5
"72",300,1,2,50,1,1,3,"normal",0.754626641566151,0.1
